Temperature,Humidity,Precipitation (%),Wind Speed,Cloud Cover,Visibility (km),Season,Uv Index,Weather Type
32.4,30.7,0,19.4,1.1,24.1,1,10,0
32.2,36.9,0,16.9,20.3,20.2,1,10,2
33.1,34.7,0,19.8,0.9,21,1,10,0
32.7,40,0,17.3,15.8,20.2,1,10,0
32.4,40.5,0,19.4,19.5,20.2,1,10,0
31.5,44.9,0,18.4,76.5,21,1,8,2
29.4,51.8,0,20.9,96.7,20.8,1,5,1
30.3,54.1,100,8.6,94.9,20.2,1,7,3
29.5,53.1,0,9.7,97.1,20.3,1,4,1
29.2,59.5,100,13,88.3,20.2,1,7,3
29.3,65.8,100,20.2,74.7,20,1,9,3
29.8,66.9,100,16.2,63.7,19.2,1,8,3
30.6,65,100,11.2,86.4,20,1,8,3
29.7,69.5,100,11.2,60,17.4,1,8,3
27.5,78.1,100,12.2,63.3,18.7,1,8,3
29.8,69,100,14.8,49.4,19.2,1,9,3
29.9,65,100,13.7,28.5,20.3,1,9,3
30.3,62.9,100,15.1,33,19.9,1,10,3
30.5,58.7,100,13.7,36.5,20.3,1,9,3
31.2,56.4,0,16.6,21.9,20.3,1,10,2
32.5,54.1,0,19.1,20.7,20.3,1,9,2
33.6,52.5,0,17.6,28.2,20.3,1,10,2
34.2,50.8,0,22.3,15.5,20.3,1,10,0
34.1,47.4,0,22.3,4.7,20.3,1,10,0
34.6,48.1,0,21.2,6.1,20.3,1,10,0
34.8,46.2,0,20.5,13.7,20.2,1,10,0
34.7,47,0,15.8,15,20.3,1,9,0
34,48.9,0,16.9,29,20.3,1,9,2
29.9,65.6,100,16.9,48.9,20.1,1,9,3
26.3,85.5,100,10.4,77.4,19.2,1,7,3
