Temperature,Humidity,Precipitation (%),Wind Speed,Cloud Cover,Visibility (km),Season,Uv Index,Weather Type
24.3,84.2,0,12.2,27.1,24.1,2,7,2
24.5,81.9,0,9.7,32.5,20.4,2,7,2
24.8,81.1,0,10.4,17.8,20.4,2,7,0
24.9,81,0,9,13,20.3,2,7,0
24.7,81.4,0,8.3,29.6,20.3,2,7,2
23.6,80.7,0,8.3,34.7,20.3,2,7,2
23.2,78,0,7.6,28.5,20.3,2,7,2
23.1,80,0,8.6,19.6,20.4,2,7,0
24,81.2,100,8.3,45.5,20.3,2,7,3
24.1,80.3,0,9.4,44.6,20.4,2,7,2
22.6,80.6,0,10.1,46.9,20.4,2,7,2
21.8,78.8,0,10.4,45,20.3,2,7,2
21.7,79,0,9,0.1,20.4,2,7,0
22.2,78.4,0,13,18.7,20.4,2,7,0
23.1,75,0,13.3,31.2,20.3,2,6,2
23.1,77.6,0,10.8,3.6,20.4,2,7,0
23.4,76.2,0,11.5,15,20.4,2,7,0
23,78.5,0,9,44.2,21.8,2,6,2
23.6,75.2,0,9.4,62.4,20.4,2,7,2
22.8,77.5,0,9,48.1,20.4,2,7,2
23,76.9,100,10.4,78.8,20.3,2,5,3
23.1,77.4,0,10.4,63.5,20.4,2,7,2
21.5,78.5,0,11.2,60,20.3,2,7,2
21.4,79.1,0,9,31.6,20.4,2,7,2
22.1,78.2,0,9,0,20.4,2,7,0
22.7,76.9,0,10.8,3.3,20.4,2,7,0
22.8,77.6,0,10.8,0.2,20.3,2,7,0
22.6,78,0,10.1,0,20.4,2,7,0
22.8,79,0,10.8,0.2,20.4,2,7,0
23.8,77,0,8.6,6,20.3,2,7,0
22.9,80,0,9.4,22.6,20.4,2,7,2
