Temperature,Humidity,Precipitation (%),Wind Speed,Cloud Cover,Visibility (km),Season,Uv Index,Weather Type
27.8,81.4,100,11.2,31.7,20.1,2,7,3
28,81,100,11.9,16.9,20.4,2,8,3
28.2,80.6,100,7.2,23.3,20.3,2,7,3
28.1,80.5,0,7.6,15.8,20.1,2,8,0
27.9,79.5,0,6.8,28.9,20.4,2,8,2
24.1,91.3,100,8.3,89.3,18.4,2,3,3
22.9,92.4,100,8.6,97.2,19.7,2,3,3
22.6,89.8,0,12.2,95.8,20.2,2,3,1
23.5,88.5,100,11.9,95.6,20.2,2,2,3
25,84.6,100,10.4,83.4,20.3,2,5,3
26.3,84.3,0,9.7,54.7,20.3,2,7,2
27,82.3,100,9.4,37.8,20.4,2,7,3
26.6,83.1,0,11.2,26.3,20.3,2,7,2
26.1,82.1,0,12.6,4.6,20.3,2,8,0
25,81.6,0,9,20.8,20.4,2,8,2
24.1,78.6,0,9.4,36.2,20.3,2,8,2
23.2,74,0,11.5,30.9,20.4,2,8,2
24.3,78.3,0,12.2,11.7,24.1,2,7,0
25.4,82.9,0,9.4,22.5,24.1,2,5,2
26.1,83.7,100,7.6,18,23.6,2,7,3
26.1,83,100,9.7,19.3,24.1,2,7,3
24.1,76.5,0,10.4,10.6,21.1,2,8,0
24.6,77.5,100,8.6,26.7,20.3,2,7,3
24.3,80.8,0,8.3,43.1,20.4,2,8,2
23.6,78.5,0,9.4,24,20.3,2,8,2
22.4,80,0,9.4,43.3,20.3,2,7,2
23.3,76.6,0,10.8,58.3,20.4,2,7,2
23.5,79.3,100,12.2,76.6,20.2,2,6,3
24.3,86,100,8.6,87.3,20.3,2,6,3
25.1,82.8,0,10.8,53.5,20.5,2,7,2
