Temperature,Humidity,Precipitation (%),Wind Speed,Cloud Cover,Visibility (km),Season,Uv Index,Weather Type
21.3,71.5,0.0,7.9,0.0,24.1,1.0,8.0,0.0
21.5,69.6,0.0,11.2,0.0,24.1,1.0,8.0,0.0
22.7,67.7,0.0,15.5,9.3,24.1,1.0,7.0,0.0
22.3,69.9,0.0,10.1,16.3,24.1,1.0,7.0,0.0
20.7,64.9,0.0,10.1,0.0,24.1,1.0,8.0,0.0
20.3,65.6,0.0,10.1,0.0,24.1,1.0,8.0,0.0
20.0,70.7,0.0,10.1,12.4,24.1,1.0,8.0,0.0
20.3,73.1,0.0,9.7,25.6,24.1,1.0,7.0,2.0
20.8,70.4,0.0,10.1,1.2,24.1,1.0,8.0,0.0
21.4,64.6,0.0,8.3,0.1,24.1,1.0,8.0,0.0
22.0,64.5,0.0,9.4,0.9,24.1,1.0,8.0,0.0
22.6,68.5,0.0,9.0,5.5,24.1,1.0,7.0,0.0
21.6,69.8,0.0,9.0,1.5,24.1,1.0,8.0,0.0
22.1,70.6,0.0,10.1,31.5,24.1,1.0,6.0,2.0
22.9,74.0,0.0,10.1,54.1,23.1,1.0,5.0,2.0
23.0,76.0,0.0,7.6,36.4,24.0,1.0,6.0,2.0
21.8,68.7,0.0,9.0,2.0,24.1,1.0,8.0,0.0
21.4,64.0,0.0,10.8,0.0,24.1,1.0,8.0,0.0
21.4,61.0,0.0,9.4,0.0,24.1,1.0,8.0,0.0
22.1,61.0,0.0,9.4,0.0,24.1,1.0,8.0,0.0
22.1,59.6,0.0,10.1,0.0,24.1,1.0,8.0,0.0
21.9,61.0,0.0,9.7,0.0,24.1,1.0,8.0,0.0
22.5,61.9,0.0,9.0,0.9,24.1,1.0,8.0,0.0
22.1,65.1,0.0,9.4,11.8,24.1,1.0,8.0,0.0
22.2,68.0,0.0,9.0,28.5,24.1,1.0,8.0,2.0
22.3,67.5,0.0,8.6,1.7,24.1,1.0,8.0,0.0
22.5,63.1,0.0,10.4,0.0,24.1,1.0,8.0,0.0
23.2,58.1,0.0,9.7,0.0,24.1,1.0,8.0,0.0
22.3,64.4,0.0,10.1,6.5,24.1,1.0,8.0,0.0
23.0,64.0,0.0,9.0,0.0,24.1,1.0,8.0,0.0
23.9,58.8,0.0,10.4,0.0,24.1,1.0,8.0,0.0
23.7,56.6,0.0,9.4,35.3,24.1,1.0,8.0,2.0
23.6,60.4,0.0,9.7,63.5,24.1,1.0,8.0,2.0
23.6,63.9,0.0,9.7,19.3,24.1,1.0,8.0,0.0
23.9,62.5,0.0,9.0,32.1,24.1,1.0,8.0,2.0
24.2,64.0,0.0,9.0,15.0,24.1,1.0,8.0,0.0
24.1,62.9,0.0,9.7,0.0,24.1,1.0,8.0,0.0
24.0,59.6,0.0,9.4,0.0,24.1,1.0,9.0,0.0
24.2,57.5,0.0,11.5,0.0,24.1,1.0,9.0,0.0
24.6,61.5,0.0,11.5,2.8,24.1,1.0,8.0,0.0
26.7,59.9,0.0,12.6,17.4,24.1,1.0,8.0,0.0
26.7,59.3,0.0,10.1,3.8,24.1,1.0,8.0,0.0
25.1,58.8,0.0,8.3,52.6,24.1,1.0,9.0,2.0
24.2,57.7,0.0,10.1,25.6,24.1,1.0,9.0,2.0
24.2,56.0,0.0,10.4,15.4,24.1,1.0,9.0,0.0
24.2,51.7,0.0,13.3,11.1,24.1,1.0,9.0,0.0
22.9,56.9,0.0,9.7,5.4,24.1,1.0,9.0,0.0
24.1,47.5,0.0,10.4,0.0,24.1,1.0,9.0,0.0
25.3,47.1,0.0,11.2,0.4,24.1,1.0,9.0,0.0
26.1,53.9,0.0,9.7,2.7,24.1,1.0,9.0,0.0
26.8,64.2,0.0,9.0,8.1,24.1,1.0,8.0,0.0
28.0,60.8,0.0,11.9,8.0,24.1,1.0,9.0,0.0
28.3,51.9,0.0,14.0,4.3,24.1,1.0,9.0,0.0
26.1,51.7,0.0,9.7,45.8,24.1,1.0,8.0,2.0
26.7,50.3,0.0,13.3,70.8,24.1,1.0,9.0,2.0
25.8,62.5,0.0,14.8,59.1,24.1,1.0,5.0,2.0
26.1,64.4,0.0,9.0,7.0,24.1,1.0,9.0,0.0
25.6,55.1,0.0,11.9,3.1,24.1,1.0,9.0,0.0
24.9,46.2,0.0,13.7,0.0,24.1,1.0,9.0,0.0
25.3,47.8,0.0,10.1,1.4,24.1,0.0,9.0,0.0
25.5,50.4,0.0,9.0,1.5,24.1,0.0,9.0,0.0
26.5,52.1,0.0,13.0,10.1,24.1,0.0,9.0,0.0
26.4,56.0,0.0,7.9,10.5,24.1,0.0,8.0,0.0
27.1,53.3,0.0,9.0,8.7,24.1,0.0,9.0,0.0
28.4,53.1,0.0,13.7,9.9,24.1,0.0,9.0,0.0
29.7,48.7,0.0,14.0,4.9,24.1,0.0,9.0,0.0
28.5,48.2,0.0,14.0,0.0,24.1,0.0,10.0,0.0
27.6,44.0,0.0,10.4,0.0,24.1,0.0,10.0,0.0
29.1,42.1,0.0,10.8,8.5,24.1,0.0,9.0,0.0
30.3,42.2,0.0,17.6,21.4,24.1,0.0,9.0,2.0
29.5,45.4,0.0,19.1,13.0,24.1,0.0,9.0,0.0
29.0,44.2,0.0,18.4,15.9,24.1,0.0,9.0,0.0
29.6,48.0,0.0,23.4,19.2,24.1,0.0,9.0,0.0
29.5,49.4,0.0,19.1,7.3,24.1,0.0,10.0,0.0
28.8,46.7,0.0,16.6,5.1,24.1,0.0,10.0,0.0
28.6,43.6,0.0,17.3,3.9,24.1,0.0,10.0,0.0
29.0,41.4,0.0,14.8,3.2,24.1,0.0,10.0,0.0
29.1,42.6,0.0,9.0,13.8,24.1,0.0,9.0,0.0
28.5,48.1,0.0,9.0,26.4,24.1,0.0,9.0,2.0
29.2,51.7,100.0,9.0,35.8,23.4,0.0,9.0,5.0
29.0,54.6,100.0,16.9,20.3,23.7,0.0,9.0,5.0
27.8,51.1,0.0,12.6,11.9,24.1,0.0,9.0,0.0
27.9,50.6,0.0,11.2,1.6,24.1,0.0,10.0,0.0
29.2,44.4,0.0,13.3,0.1,24.1,0.0,10.0,0.0
28.9,48.1,0.0,9.0,0.5,24.1,0.0,10.0,0.0
29.8,48.0,0.0,12.6,4.0,24.1,0.0,9.0,0.0
31.1,42.2,0.0,19.8,6.7,24.1,0.0,10.0,0.0
30.7,42.2,0.0,14.0,21.0,24.1,0.0,10.0,2.0
31.2,43.9,0.0,12.2,7.9,24.1,0.0,10.0,0.0
32.0,42.3,0.0,13.7,12.9,24.1,0.0,9.0,0.0
32.0,45.9,0.0,15.1,14.0,24.1,0.0,9.0,0.0
32.4,42.3,0.0,13.7,5.3,24.1,0.0,9.0,0.0
32.9,43.1,0.0,11.5,7.6,24.1,0.0,10.0,0.0
33.3,44.4,0.0,13.0,30.1,24.1,0.0,9.0,2.0
33.5,47.7,0.0,17.6,38.2,24.1,0.0,9.0,2.0
32.1,55.1,100.0,14.4,22.6,24.1,0.0,10.0,5.0
30.4,62.3,100.0,17.3,33.1,24.0,0.0,9.0,5.0
29.6,63.7,100.0,10.4,17.1,23.7,0.0,9.0,3.0
30.5,56.5,0.0,9.7,21.3,23.6,0.0,9.0,2.0
31.1,52.8,0.0,13.0,29.0,24.1,0.0,9.0,2.0
30.5,48.3,0.0,13.0,10.2,24.1,0.0,9.0,0.0
29.9,49.9,0.0,8.6,0.0,24.1,0.0,10.0,0.0
31.7,46.3,0.0,11.5,1.6,24.1,0.0,10.0,0.0
32.3,46.0,0.0,15.8,8.3,24.1,0.0,10.0,0.0
33.5,43.9,0.0,21.6,8.4,24.1,0.0,10.0,0.0
33.0,46.2,0.0,14.8,10.6,24.1,0.0,9.0,0.0
32.5,50.3,0.0,10.4,13.9,24.1,0.0,9.0,0.0
34.0,47.3,0.0,15.8,10.2,24.1,0.0,9.0,0.0
33.8,44.0,0.0,18.4,12.8,24.1,0.0,10.0,0.0
33.9,48.3,0.0,20.9,9.7,24.1,0.0,10.0,0.0
34.4,45.8,0.0,19.8,7.0,24.1,0.0,10.0,0.0
34.3,47.4,0.0,18.7,12.4,24.1,0.0,10.0,0.0
34.1,49.7,100.0,14.0,42.7,24.1,0.0,10.0,5.0
34.7,48.5,0.0,16.6,51.2,24.1,0.0,9.0,2.0
33.1,54.7,100.0,16.9,81.3,24.1,0.0,8.0,5.0
31.1,56.2,100.0,14.0,60.8,24.0,0.0,9.0,5.0
31.5,51.1,0.0,18.4,21.9,24.1,0.0,10.0,2.0
30.7,53.9,0.0,24.1,58.6,22.8,0.0,8.0,2.0
29.2,59.2,100.0,15.8,64.1,23.3,0.0,10.0,5.0
29.3,61.7,100.0,16.6,68.5,23.0,0.0,9.0,5.0
30.2,58.7,100.0,19.8,58.0,23.1,0.0,10.0,5.0
29.1,67.2,100.0,19.4,57.0,24.1,0.0,8.0,5.0
30.1,63.9,100.0,19.8,45.3,23.2,0.0,9.0,5.0
30.4,64.0,100.0,10.8,49.6,24.1,0.0,9.0,5.0
30.6,67.2,100.0,11.5,37.0,24.1,0.0,9.0,5.0
32.5,53.3,0.0,15.8,62.2,24.1,0.0,10.0,2.0
32.5,53.2,0.0,13.3,44.2,24.1,0.0,10.0,2.0
31.4,59.8,0.0,11.5,48.8,24.1,0.0,7.0,2.0
30.2,66.2,100.0,11.2,61.3,23.8,0.0,7.0,5.0
26.4,85.5,100.0,8.6,94.6,21.4,0.0,6.0,4.0
24.7,91.8,100.0,7.6,99.7,18.7,0.0,2.0,4.0
26.7,79.5,100.0,8.6,65.5,21.1,0.0,6.0,5.0
29.0,72.2,0.0,14.0,17.0,24.1,0.0,8.0,0.0
27.9,71.2,0.0,28.4,93.3,24.1,0.0,9.0,1.0
29.3,73.1,100.0,20.9,70.5,24.1,0.0,9.0,5.0
30.3,70.9,0.0,15.1,43.4,24.0,0.0,8.0,2.0
31.7,66.5,0.0,17.3,35.6,23.1,0.0,9.0,2.0
31.8,65.7,0.0,11.2,34.0,22.7,0.0,9.0,2.0
31.7,66.1,100.0,9.0,26.9,23.9,0.0,9.0,5.0
32.5,62.2,0.0,15.5,20.7,24.1,0.0,9.0,2.0
32.7,62.2,100.0,20.5,21.8,24.1,0.0,9.0,5.0
31.7,65.4,0.0,23.0,58.4,23.6,0.0,9.0,2.0
30.3,69.4,100.0,24.1,90.6,24.0,0.0,8.0,4.0
29.8,70.0,0.0,23.0,79.5,23.6,0.0,6.0,2.0
