Temperature,Humidity,Precipitation (%),Wind Speed,Cloud Cover,Visibility (km),Season,Uv Index,Weather Type
23.7,69.9,100.0,8.3,44.5,5.0,Winter,6.0,rain
22.8,72.2,0.0,9.4,18.8,5.0,Winter,7.0,clear-day
22.5,68.5,0.0,8.3,22.1,4.4,Winter,7.0,partly-cloudy-day
21.9,67.1,0.0,10.1,23.0,5.0,Winter,7.0,partly-cloudy-day
20.5,66.8,0.0,11.2,1.9,6.0,Winter,8.0,clear-day
20.3,61.0,0.0,9.7,0.0,4.5,Winter,8.0,clear-day
20.6,59.1,0.0,6.1,37.5,5.0,Winter,8.0,partly-cloudy-day
21.5,59.1,0.0,7.6,40.5,5.5,Winter,8.0,partly-cloudy-day
20.7,64.0,0.0,9.0,90.0,4.4,Winter,7.0,partly-cloudy-day
19.6,67.3,0.0,13.0,5.4,4.3,Winter,8.0,clear-day
19.6,68.9,0.0,12.6,61.3,5.0,Winter,8.0,partly-cloudy-day
18.3,65.2,0.0,10.4,65.5,4.5,Winter,8.0,partly-cloudy-day
20.1,64.2,0.0,7.9,46.7,5.3,Winter,8.0,partly-cloudy-day
20.1,63.2,0.0,10.4,79.9,4.7,Winter,8.0,partly-cloudy-day
19.7,69.9,0.0,8.3,48.6,5.0,Winter,8.0,partly-cloudy-day
19.4,66.7,0.0,10.1,3.2,4.7,Winter,8.0,clear-day
18.3,66.9,0.0,14.4,0.3,5.3,Winter,8.0,clear-day
18.5,67.6,0.0,12.2,12.0,4.3,Winter,8.0,clear-day
18.3,68.0,0.0,12.2,24.5,4.8,Winter,8.0,partly-cloudy-day
20.4,64.9,0.0,9.7,1.2,4.7,Winter,8.0,clear-day
21.3,65.1,0.0,12.6,18.7,5.0,Winter,7.0,clear-day
22.9,66.9,0.0,7.6,60.1,4.3,Winter,7.0,partly-cloudy-day
22.8,71.3,0.0,9.0,22.4,5.3,Winter,8.0,partly-cloudy-day
21.7,70.1,0.0,9.0,1.6,4.7,Winter,8.0,clear-day
22.2,71.1,100.0,13.0,32.0,5.5,Winter,6.0,rain
21.7,76.6,100.0,18.0,36.0,5.0,Winter,7.0,rain
21.2,69.2,100.0,22.0,25.8,5.0,Winter,7.0,rain
19.6,72.4,0.0,9.7,11.5,4.7,Winter,8.0,clear-day
19.8,71.1,0.0,9.4,3.4,5.0,Winter,8.0,clear-day
19.7,68.3,0.0,10.1,3.3,4.3,Winter,8.0,clear-day
20.7,67.0,0.0,10.1,2.3,5.3,Winter,8.0,clear-day
20.8,64.3,0.0,9.4,16.0,4.5,Winter,8.0,clear-day
21.9,62.5,0.0,11.5,8.6,4.7,Winter,8.0,clear-day
21.3,66.1,0.0,10.1,0.2,5.0,Winter,8.0,clear-day
21.2,62.9,0.0,10.4,0.2,4.0,Winter,8.0,clear-day
21.9,63.7,0.0,9.7,17.4,5.0,Winter,8.0,clear-day
23.0,61.2,0.0,9.7,1.1,5.0,Winter,8.0,clear-day
24.6,61.6,0.0,11.9,17.1,5.0,Winter,8.0,clear-day
24.3,62.4,0.0,10.8,34.5,5.5,Winter,6.0,partly-cloudy-day
24.2,60.6,0.0,17.3,15.2,5.0,Winter,8.0,clear-day
24.6,54.1,0.0,15.5,25.2,5.5,Winter,8.0,partly-cloudy-day
24.4,55.3,0.0,14.8,13.5,5.3,Winter,8.0,clear-day
24.4,57.3,0.0,16.6,2.8,5.3,Winter,8.0,clear-day
25.4,57.6,0.0,9.0,13.8,5.0,Winter,8.0,clear-day
24.8,60.1,0.0,10.8,0.3,4.8,Winter,9.0,clear-day
25.0,52.9,0.0,12.2,0.0,5.3,Winter,9.0,clear-day
25.9,53.9,0.0,9.7,0.0,4.5,Winter,9.0,clear-day
26.1,51.4,0.0,9.7,0.6,4.4,Winter,9.0,clear-day
26.4,51.8,0.0,8.3,0.0,5.0,Winter,9.0,clear-day
27.2,49.6,0.0,10.1,34.2,5.0,Winter,9.0,partly-cloudy-day
27.7,52.4,0.0,11.9,53.2,4.7,Winter,9.0,partly-cloudy-day
29.9,47.1,0.0,23.8,75.9,4.8,Winter,9.0,partly-cloudy-day
29.8,47.7,0.0,21.2,17.7,4.7,Winter,9.0,clear-day
28.9,48.0,0.0,15.8,35.8,4.8,Winter,9.0,partly-cloudy-day
28.9,41.2,0.0,16.9,15.0,4.8,Winter,9.0,clear-day
26.8,52.4,100.0,15.5,42.6,4.0,Winter,8.0,rain
26.3,59.9,100.0,11.2,69.8,4.3,Winter,7.0,rain
25.9,60.6,100.0,10.8,67.1,5.0,Winter,6.0,rain
26.0,60.2,100.0,10.1,27.2,4.3,Winter,8.0,rain
27.1,47.7,0.0,8.6,18.1,5.0,Winter,8.0,clear-day
27.9,46.8,0.0,12.6,26.9,4.5,Summer,8.0,partly-cloudy-day
28.7,46.7,0.0,9.0,73.6,5.0,Summer,9.0,partly-cloudy-day
28.1,44.8,0.0,8.6,71.7,4.8,Summer,9.0,partly-cloudy-day
